granule_url,granule_id,polygon,descriptor,polygon_full,size_mb,mem_request,dsk_request
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264247916/processed_ATL03_20190911154131_11540405_006_02.h5,ATL03_20190911154131_11540405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,469.28,9137MB,2673200KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264248493/processed_ATL03_20190922025720_13140403_006_02.h5,ATL03_20190922025720_13140403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,55.45,2332MB,1638625KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264248935/processed_ATL03_20190928015743_00180503_006_02.h5,ATL03_20190928015743_00180503_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,382.82,8018MB,2457050KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264249186/processed_ATL03_20190909163250_11240405_006_02.h5,ATL03_20190909163250_11240405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,389.62,8106MB,2474050KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250005/processed_ATL03_20190918030539_12530403_006_02.h5,ATL03_20190918030539_12530403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,114.48,3536MB,1786200KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250322/processed_ATL03_20190909034757_11160403_006_02.h5,ATL03_20190909034757_11160403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,57.95,2383MB,1644875KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250858/processed_ATL03_20190916022239_12220403_006_02.h5,ATL03_20190916022239_12220403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,227.38,5839MB,2068450KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264250905/processed_ATL03_20190911025638_11460403_006_02.h5,ATL03_20190911025638_11460403_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,32.89,1871MB,1582225KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264257963/processed_ATL03_20190927150816_00110505_006_02.h5,ATL03_20190927150816_00110505_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,505.5,9605MB,2763750KB
https://n5eil02u.ecs.nsidc.org/esir/5000005624143/264263961/processed_ATL03_20190925155934_13680405_006_02.h5,ATL03_20190925155934_13680405_006_02,geojsons/simplified_GRE_2200_NW.geojson,GrIS_2019_2200_NW,geojsons/GRE_2200_NW.geojson,453.27,8929MB,2633175KB
