ice_sheet,melt_season,geojson,start_date,end_date,status_url,request_code,ngranules_request,status,orderID,status_txt,nprocessed,n_links,gran_list_url,order_overview_url,order_summary_url,available_until
AIS,2020-21,simplified_ANT_1000_East_K-A.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624210,201,384,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_East_K-A.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624211,201,397,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_East_K-A.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624212,201,391,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_West_F-G.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624213,201,442,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_West_F-G.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624214,201,451,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_West_F-G.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624215,201,445,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_West_F-G.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624216,201,450,,,-1,0,0,,,,
AIS,2022-23,simplified_ANT_1000_West_F-G.geojson,2022-11-01,2023-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624217,201,444,,,-1,0,0,,,,
AIS,2018-19,simplified_ANT_1000_Peninsula_Hp-I.geojson,2018-11-01,2019-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624218,201,201,,,-1,0,0,,,,
AIS,2019-20,simplified_ANT_1000_Peninsula_Hp-I.geojson,2019-11-01,2020-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624220,201,211,,,-1,0,0,,,,
AIS,2020-21,simplified_ANT_1000_Peninsula_Hp-I.geojson,2020-11-01,2021-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624221,201,204,,,-1,0,0,,,,
AIS,2021-22,simplified_ANT_1000_Peninsula_Hp-I.geojson,2021-11-01,2022-03-31,https://n5eil02u.ecs.nsidc.org/egi/request/5000005624222,201,205,,,-1,0,0,,,,
