,granule,geojson,description,geojson_full,fn,hold_reason,is_memory
58,ATL03_20220812215018_07941604_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220812215018_07941604_006_01.h5-121.log,The job restarted too many times,False
59,ATL03_20220819110428_08941605_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220819110428_08941605_006_01.h5-122.log,The job restarted too many times,False
60,ATL03_20220824212001_09771603_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220824212001_09771603_006_01.h5-124.log,The job restarted too many times,False
61,ATL03_20220825205947_09921604_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2022_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2022_2000_NE-135549_ATL03_20220825205947_09921604_006_01.h5-125.log,The job restarted too many times,False
62,ATL03_20230526214654_10161905_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2023_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2023_2000_NE-135549_ATL03_20230526214654_10161905_006_01.h5-130.log,The job restarted too many times,False
63,ATL03_20230601080221_10991903_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2023_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2023_2000_NE-135549_ATL03_20230601080221_10991903_006_01.h5-131.log,The job restarted too many times,False
64,ATL03_20230604210430_11531905_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2023_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2023_2000_NE-135549_ATL03_20230604210430_11531905_006_01.h5-133.log,The job restarted too many times,False
65,ATL03_20230608205604_12141905_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2023_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2023_2000_NE-135549_ATL03_20230608205604_12141905_006_01.h5-135.log,The job restarted too many times,False
66,ATL03_20230619205646_13821905_006_01.h5,geojsons/simplified_GRE_2000_NE.geojson,GrIS_2023_2000_NE,geojsons/GRE_2000_NE.geojson,logs/job_GrIS_2023_2000_NE-135549_ATL03_20230619205646_13821905_006_01.h5-138.log,The job restarted too many times,False
67,ATL03_20190527075008_09020303_006_02.h5,geojsons/simplified_GRE_2000_SW.geojson,GrIS_2019_2000_SW,geojsons/GRE_2000_SW.geojson,logs/job_GrIS_2019_2000_SW-135549_ATL03_20190527075008_09020303_006_02.h5-139.log,The job restarted too many times,False
